,capacity
0,1.0464231
1,1.0474036
2,1.048004
3,1.0485611
4,1.0489986
5,1.0493289
6,1.0497077
7,1.0499413
8,1.0500654
9,1.0504172
10,1.0505079
11,1.0506704
12,1.0507314
13,1.0508007
14,1.050892
15,1.051082
16,1.0510688
17,1.0512434
18,1.0513729
19,1.051302
20,1.0514592
21,1.0514532
22,1.0515106
23,1.0513455
24,1.0512739
25,1.0513349
26,1.0513729
27,1.0512571
28,1.0513116
29,1.0513413
30,1.0514134
31,1.0513372
32,1.051381
33,1.0514362
34,1.0513194
35,1.0514375
36,1.0513947
37,1.0513233
38,1.0512806
39,1.0513278
40,1.0512259
41,1.0512891
42,1.0510852
43,1.051098
44,1.0510215
45,1.0510676
46,1.0510764
47,1.0510266
48,1.0510739
49,1.0510941
50,1.0511026
51,1.050963
52,1.0510039
53,1.0510648
54,1.0509763
55,1.0510496
56,1.0509909
57,1.0509552
58,1.0510068
59,1.0509081
60,1.0508903
61,1.0509632
62,1.0509416
63,1.0507969
64,1.0508008
65,1.0507661
66,1.0507518
67,1.0507267
68,1.050634
69,1.0505921
70,1.0505822
71,1.0505077
72,1.0504718
73,1.0503155
74,1.0502795
75,1.0502292
76,1.0502198
77,1.0500909
78,1.0500169
79,1.050172
80,1.0501217
81,1.0501214
82,1.0501294
83,1.0499505
84,1.0499107
85,1.0498294
86,1.0498253
87,1.0497943
88,1.0498945
89,1.0498229
90,1.0497826
91,1.0497518
92,1.0496796
93,1.0497979
94,1.0498099
95,1.0497744
96,1.0497086
97,1.0497122
98,1.049562
99,1.0495038
100,1.0494113
101,1.0494332
102,1.0492972
103,1.0492154
104,1.049214
105,1.0490531
106,1.0490927
107,1.0491012
108,1.0490718
109,1.0490912
110,1.0490333
111,1.0489508
112,1.0489316
113,1.0489637
114,1.0488805
115,1.0488442
116,1.0487709
117,1.0488228
118,1.0487926
119,1.0488542
120,1.0487953
121,1.0487939
122,1.0487487
123,1.0486289
124,1.0486412
125,1.0486429
126,1.0486598
127,1.0486295
128,1.048673
129,1.0486078
130,1.0485677
131,1.0484674
132,1.0485005
133,1.0484331
134,1.0484344
135,1.0483578
136,1.0482947
137,1.0481886
138,1.0481515
139,1.0480857
140,1.0480539
141,1.0479646
142,1.0478526
143,1.0477957
144,1.047755
145,1.0477456
146,1.0476271
147,1.047563
148,1.0475111
149,1.0475334
150,1.0474929
151,1.0475622
152,1.0473623
153,1.0473582
154,1.0474174
155,1.0473732
156,1.0473803
157,1.0474057
158,1.0473455
159,1.0474062
160,1.0473115
161,1.0472287
162,1.0471885
163,1.0471975
164,1.0472704
165,1.0471731
166,1.0471337
167,1.0471216
168,1.0470705
169,1.0470791
170,1.0468789
171,1.0468866
172,1.0468047
173,1.0467238
174,1.0466099
175,1.0467066
176,1.0466014
177,1.0465486
178,1.0465047
179,1.0464681
180,1.0464445
181,1.0463903
182,1.0462615
183,1.0463247
184,1.0462856
185,1.0462955
186,1.0463623
187,1.0463451
188,1.0463947
189,1.0463152
190,1.0463428
191,1.0462933
192,1.0462059
193,1.0461031
194,1.0460293
195,1.0460172
196,1.0460724
197,1.0459727
198,1.0458882
199,1.0459616
200,1.0458951
201,1.0458463
202,1.0458821
203,1.0457976
204,1.0457355
205,1.0457025
206,1.0456836
207,1.0456351
208,1.0455358
209,1.045419
210,1.0454111
211,1.0452915
212,1.0452687
213,1.0451655
214,1.0450794
215,1.0449667
216,1.0449228
217,1.0448784
218,1.0447823
219,1.0447958
220,1.0448623
221,1.0448446
222,1.0448416
223,1.04488
224,1.0448202
225,1.044843
226,1.0448334
227,1.0447791
228,1.0446959
229,1.0446705
230,1.0446904
231,1.0446126
232,1.0446724
233,1.0446064
234,1.0445043
235,1.0444862
236,1.0444293
237,1.044384
238,1.0443524
239,1.044356
240,1.0443274
241,1.0442913
242,1.0442472
243,1.0442677
244,1.0440671
245,1.0441785
246,1.044148
247,1.044089
248,1.0440471
249,1.0439347
250,1.0439042
251,1.0438685
252,1.0437799
253,1.0436894
254,1.0437216
255,1.0436764
256,1.0436906
257,1.043558
258,1.0436298
259,1.0434743
260,1.043384
261,1.0433259
262,1.0434917
263,1.0433474
264,1.0433532
265,1.0433053
266,1.0432233
267,1.0431184
268,1.0431266
269,1.0430473
270,1.0430578
271,1.0429728
272,1.042933
273,1.0428691
274,1.042836
275,1.0427816
276,1.042793
277,1.042726
278,1.0426918
279,1.0426742
280,1.0426074
281,1.0424762
282,1.0425246
283,1.0423625
284,1.0424384
285,1.042408
286,1.0423502
287,1.0422165
288,1.0423568
289,1.0422134
290,1.0422138
291,1.0420941
292,1.0420604
293,1.0420119
294,1.0419817
295,1.0419416
296,1.0418793
297,1.041857
298,1.041859
299,1.0418009
300,1.0417413
301,1.0417657
302,1.0416682
303,1.0415928
304,1.0414991
305,1.0413777
306,1.04146
307,1.0413741
308,1.0413573
309,1.0413135
310,1.0412229
311,1.0411817
312,1.0411205
313,1.0411046
314,1.0410726
315,1.0410043
316,1.0410757
317,1.0409262
318,1.040776
319,1.0407748
320,1.0407009
321,1.0405911
322,1.04053
323,1.0405393
324,1.0404432
325,1.0404195
326,1.0403486
327,1.0402906
328,1.0403543
329,1.0402735
330,1.0401731
331,1.0401189
332,1.0401653
333,1.040033
334,1.0400411
335,1.0399841
336,1.039961
337,1.0398189
338,1.0397599
339,1.0397164
340,1.0397799
341,1.0397233
342,1.0396286
343,1.039547
344,1.0395327
345,1.0393498
346,1.0394069
347,1.0393887
348,1.0392426
349,1.0392944
350,1.0392481
351,1.0392027
352,1.0391573
353,1.0390702
354,1.0390484
355,1.039004
356,1.0389355
357,1.0388675
358,1.0388761
359,1.0387614
360,1.0387295
361,1.0387715
362,1.0386724
363,1.0385635
364,1.0386317
365,1.0386128
366,1.038506
367,1.0385566
368,1.03852
369,1.038337
370,1.0383593
371,1.0382644
372,1.038259
373,1.0382199
374,1.0382391
375,1.0381323
376,1.0380937
377,1.0380152
378,1.0379839
379,1.0378618
380,1.0378267
381,1.0377748
382,1.0377125
383,1.0376683
384,1.037645
385,1.0375688
386,1.0374564
387,1.0374472
388,1.0373914
389,1.0373024
390,1.037357
391,1.0373063
392,1.0372227
393,1.0370718
394,1.0370249
395,1.0370641
396,1.0370079
397,1.0368968
398,1.0369015
399,1.036779
400,1.0367764
401,1.0366734
402,1.0367781
403,1.0367419
404,1.0367031
405,1.0367063
406,1.0367787
407,1.0366337
408,1.0366337
409,1.0366123
410,1.0365906
411,1.0364751
412,1.0363984
413,1.0362705
414,1.0363365
415,1.0363452
416,1.0361491
417,1.0361829
418,1.0361775
419,1.0360229
420,1.0360111
421,1.0359511
422,1.0358779
423,1.0358553
424,1.0358055
425,1.0357811
426,1.0357085
427,1.0356857
428,1.0356898
429,1.0355594
430,1.0355203
431,1.0354415
432,1.0354595
433,1.0354158
434,1.0353107
435,1.0351934
436,1.0352596
437,1.0351504
438,1.0351915
439,1.0350919
440,1.0351191
441,1.035018
442,1.0349687
443,1.0349606
444,1.0349034
445,1.0348669
446,1.0348097
447,1.0347091
448,1.0345664
449,1.0345138
450,1.0344578
451,1.0344601
452,1.0344232
453,1.034371
454,1.0343468
455,1.0343333
456,1.0343239
457,1.0342202
458,1.0342009
459,1.0341008
460,1.0341457
461,1.0340748
462,1.034035
463,1.0340252
464,1.0339601
465,1.0338823
466,1.033749
467,1.0337721
468,1.0336714
469,1.0335974
470,1.033549
471,1.0334705
472,1.0334229
473,1.0333776
474,1.0334067
475,1.0333107
476,1.0332828
477,1.0333304
478,1.0332441
479,1.0331697
480,1.0331067
481,1.0330534
482,1.0330019
483,1.0329268
484,1.0328052
485,1.0328245
486,1.0327498
487,1.0326967
488,1.0326853
489,1.0325606
490,1.032465
491,1.0325289
492,1.0323761
493,1.0323299
494,1.0322666
495,1.0321395
496,1.0321728
497,1.0321144
498,1.0320415
499,1.0320234
500,1.0319906
501,1.0318553
502,1.0317851
503,1.0317795
504,1.0316564
505,1.031584
506,1.0315909
507,1.031597
508,1.0316039
509,1.0315446
510,1.0315002
511,1.0315356
512,1.0314715
513,1.0314343
514,1.0312926
515,1.0313345
516,1.0312133
517,1.0312302
518,1.0311389
519,1.0310543
520,1.0309935
521,1.0309656
522,1.0309
523,1.0309452
524,1.0307351
525,1.0306911
526,1.030642
527,1.0305815
