,capacity
0,1.0664694
1,1.0675218
2,1.0682656
3,1.0687692
4,1.0689943
5,1.069432
6,1.0698754
7,1.0688691
8,1.0702367
9,1.0702851
10,1.0703733
11,1.0705177
12,1.0705789
13,1.070624
14,1.0706929
15,1.0707315
16,1.0708863
17,1.070919
18,1.0707999
19,1.0696946
20,1.0708239
21,1.0708742
22,1.0708808
23,1.0695053
24,1.0707102
25,1.0706769
26,1.0708857
27,1.0708859
28,1.0683064
29,1.0709022
30,1.0708494
31,1.0708572
32,1.0707285
33,1.0707386
34,1.0707765
35,1.0707047
36,1.0704776
37,1.0705494
38,1.0706857
39,1.0706372
40,1.0705074
41,1.0705273
42,1.0704055
43,1.0704316
44,1.0703412
45,1.0703367
46,1.0703856
47,1.0704813
48,1.070464
49,1.0704235
50,1.0703938
51,1.0692064
52,1.0704437
53,1.0705144
54,1.0705047
55,1.0704857
56,1.0703052
57,1.0703373
58,1.0704552
59,1.0704386
60,1.0705527
61,1.0705324
62,1.0703927
63,1.0703483
64,1.0703211
65,1.0703509
66,1.0702479
67,1.0702336
68,1.0702331
69,1.0701863
70,1.0702238
71,1.070166
72,1.0703917
73,1.0701313
74,1.0701526
75,1.0701083
76,1.070136
77,1.0702369
78,1.0702025
79,1.0700562
80,1.0701401
81,1.0701914
82,1.0700697
83,1.0701433
84,1.0701085
85,1.0686677
86,1.0699632
87,1.0699826
88,1.0698875
89,1.069891
90,1.069844
91,1.0696601
92,1.0698048
93,1.0697942
94,1.0696982
95,1.0697154
96,1.0697757
97,1.0697899
98,1.0698465
99,1.0684743
100,1.0694302
101,1.0696336
102,1.0696999
103,1.0696498
104,1.0698287
105,1.0686476
106,1.069888
107,1.0699075
108,1.0699046
109,1.0698923
110,1.0697842
111,1.0698065
112,1.0697682
113,1.0698748
114,1.0697777
115,1.0698168
116,1.0698344
117,1.0697056
118,1.0697577
119,1.0697502
120,1.0696073
121,1.0695386
122,1.0695175
123,1.0696054
124,1.0695471
125,1.069402
126,1.0691925
127,1.0692064
128,1.0692482
129,1.0692415
130,1.0692132
131,1.0692772
132,1.0692927
133,1.0692532
134,1.0691341
135,1.0691804
136,1.0692846
137,1.0681211
138,1.069365
139,1.0693494
140,1.0693774
141,1.0693338
142,1.0693305
143,1.0681276
144,1.0693606
145,1.0693192
146,1.0692335
147,1.0692616
148,1.0692178
149,1.0692197
150,1.0690708
151,1.069108
152,1.069033
153,1.0678958
154,1.0690086
155,1.0689124
156,1.068921
157,1.06874
158,1.0688131
159,1.0687343
160,1.067537
161,1.0688126
162,1.0687338
163,1.0687664
164,1.0688946
165,1.0687166
166,1.0687362
167,1.0688219
168,1.0688624
169,1.0687335
170,1.0689263
171,1.0688879
172,1.0688282
173,1.0688026
174,1.0688083
175,1.0687827
176,1.0687144
177,1.0686394
178,1.0686538
179,1.0686648
180,1.0685594
181,1.0684862
182,1.0684825
183,1.0684261
184,1.0685272
185,1.0684881
186,1.0683912
187,1.068334
188,1.0682204
189,1.0683084
190,1.0682515
191,1.0681087
192,1.0681741
193,1.0683
194,1.0682214
195,1.068288
196,1.0683255
197,1.0682536
198,1.0682487
199,1.0669935
200,1.0681632
201,1.0681499
202,1.0681126
203,1.0681506
204,1.0680745
205,1.0681242
206,1.0679828
207,1.0679888
208,1.0680844
209,1.0681289
210,1.0679817
211,1.0667369
212,1.0679404
213,1.0654731
214,1.0679041
215,1.0678537
216,1.0678663
217,1.0679841
218,1.0677805
219,1.0677183
220,1.0676858
221,1.0676972
222,1.067801
223,1.0676291
224,1.066412
225,1.0663686
226,1.0676271
227,1.0663652
228,1.0675344
229,1.0662773
230,1.0675393
231,1.067531
232,1.0675033
233,1.067305
234,1.0672452
235,1.0673002
236,1.0672753
237,1.0673201
238,1.0673188
239,1.0660193
240,1.0672066
241,1.0672532
242,1.0672072
243,1.0672159
244,1.0671722
245,1.0671388
246,1.0671134
247,1.0669987
248,1.067125
249,1.0670913
250,1.0669653
251,1.0668241
252,1.0667044
253,1.066854
254,1.0668048
255,1.0668142
256,1.0668302
257,1.0665721
258,1.0667061
259,1.0666723
260,1.0666902
261,1.0666296
262,1.066656
263,1.0664392
264,1.0664589
265,1.066443
266,1.0663993
267,1.0665243
268,1.0665241
269,1.0664536
270,1.0665162
271,1.0664846
272,1.0664631
273,1.0664891
274,1.0664202
275,1.0663896
276,1.0663818
277,1.0663302
278,1.0662833
279,1.066262
280,1.0662076
281,1.0660828
282,1.0659947
283,1.0660435
284,1.0659699
285,1.0660352
286,1.065961
287,1.0660233
288,1.0659864
289,1.0658334
290,1.0658182
291,1.0657374
292,1.0655745
293,1.0657061
294,1.0655848
295,1.0656116
296,1.0655959
297,1.0656679
298,1.0656631
299,1.0656399
300,1.0656554
301,1.0655193
302,1.0655107
303,1.0653414
304,1.0653952
305,1.0653526
306,1.0652632
307,1.065228
308,1.0652089
309,1.0652055
310,1.0653223
311,1.0652206
312,1.0639296
313,1.0651391
314,1.0650604
315,1.0651177
316,1.0638105
317,1.0637857
318,1.0649567
319,1.0649557
320,1.0649513
321,1.0649958
322,1.064837
323,1.0648293
324,1.0648257
325,1.0647975
326,1.0648123
327,1.064882
328,1.0648075
329,1.064393
330,1.0646348
331,1.0646439
332,1.0646665
333,1.0645623
334,1.0645988
335,1.0633273
336,1.0644945
337,1.0644866
338,1.0643395
339,1.0644429
340,1.0644515
341,1.0643324
342,1.064374
343,1.0642648
344,1.0643216
345,1.0642451
346,1.0641276
347,1.0641814
348,1.0641266
349,1.064103
350,1.0641416
351,1.0640892
352,1.0641186
353,1.0641409
354,1.0641661
355,1.0640996
356,1.064164
357,1.0641432
358,1.0640626
359,1.0640117
360,1.063925
361,1.0639527
362,1.0639298
363,1.0639266
364,1.0638144
365,1.0638502
366,1.0636775
367,1.0637558
368,1.0624764
369,1.0636669
370,1.0636927
371,1.0635653
372,1.0635841
373,1.0635043
374,1.062282
375,1.0633414
376,1.0632851
377,1.0633082
378,1.0633022
379,1.0632555
380,1.0632988
381,1.0632914
