,capacity
0,1.0581568
1,1.0593235
2,1.0598956
3,1.0608622
4,1.0613143
5,1.0619344
6,1.0623733
7,1.0627854
8,1.0630082
9,1.0632297
10,1.0632515
11,1.0631925
12,1.0633729
13,1.0635041
14,1.0635124
15,1.0637225
16,1.0638231
17,1.063816
18,1.0638275
19,1.0637759
20,1.0636953
21,1.0636678
22,1.063656
23,1.0637467
24,1.0637074
25,1.0636543
26,1.0637261
27,1.0637745
28,1.0637552
29,1.0637128
30,1.0638319
31,1.0638335
32,1.0638216
33,1.0638335
34,1.0637044
35,1.063648
36,1.0637673
37,1.0636897
38,1.0636505
39,1.063656
40,1.0636122
41,1.0635493
42,1.0634778
43,1.0634153
44,1.0635688
45,1.0635229
46,1.0635164
47,1.063566
48,1.06354
49,1.0635437
50,1.0635291
51,1.0634764
52,1.0634915
53,1.0635016
54,1.0634134
55,1.0633725
56,1.0633067
57,1.0633386
58,1.0633377
59,1.063273
60,1.063215
61,1.0632153
62,1.06321
63,1.0630952
64,1.0630742
65,1.0630136
66,1.0630492
67,1.0628735
68,1.0627911
69,1.0627329
70,1.062821
71,1.0628549
72,1.0629095
73,1.0627843
74,1.0630114
75,1.0627414
76,1.0625931
77,1.0625407
78,1.0625809
79,1.0625734
80,1.062579
81,1.0625201
82,1.0624714
83,1.0624675
84,1.0624721
85,1.0625274
86,1.0624642
87,1.0624385
88,1.0623397
89,1.0623287
90,1.0622327
91,1.0621901
92,1.0621722
93,1.062027
94,1.0620764
95,1.0620195
96,1.0619482
97,1.0619596
98,1.0618567
99,1.0617574
100,1.0617945
101,1.0617487
102,1.0616939
103,1.0615731
104,1.0615374
105,1.0615852
106,1.0614295
107,1.0615463
108,1.0616213
109,1.0615274
110,1.0614362
111,1.0614195
112,1.0613886
113,1.0613753
114,1.0612594
115,1.0613589
116,1.0613396
117,1.0613174
118,1.0612769
119,1.0611969
120,1.0611519
121,1.0611036
122,1.0611176
123,1.0610636
124,1.0610492
125,1.0610002
126,1.0609878
127,1.0608765
128,1.0607111
129,1.0606956
130,1.0606223
131,1.0605912
132,1.060529
133,1.0604618
134,1.0604309
135,1.0603635
136,1.0602832
137,1.0602305
138,1.0602084
139,1.0602033
140,1.0602953
141,1.0602816
142,1.0602884
143,1.0602441
144,1.0601681
145,1.0600537
146,1.0600673
147,1.0600498
148,1.0599092
149,1.0599774
150,1.0598514
151,1.0597439
152,1.059734
153,1.0596513
154,1.05957
155,1.0595965
156,1.0594708
157,1.0593996
158,1.0593653
159,1.0592973
160,1.0592593
161,1.059163
162,1.0590805
163,1.0590475
164,1.058972
165,1.0589674
166,1.058952
167,1.0589113
168,1.0588403
169,1.058905
170,1.0588744
171,1.0589021
172,1.0587866
173,1.058735
174,1.0587535
175,1.0586431
176,1.0585837
177,1.0585959
178,1.0586042
179,1.058533
180,1.0584251
181,1.0583612
182,1.0582926
183,1.0582296
184,1.0581356
185,1.0581068
186,1.0581015
187,1.0580703
188,1.0580075
189,1.0579363
190,1.0577412
191,1.0577471
192,1.0576942
193,1.0575994
194,1.0574268
195,1.0574685
196,1.0573446
197,1.0573307
198,1.0572602
199,1.057317
200,1.0573385
201,1.0573492
202,1.0572686
203,1.0572563
204,1.0571672
205,1.0571312
206,1.0570797
207,1.0570251
208,1.057026
209,1.056982
210,1.0569496
211,1.0568151
212,1.0567849
213,1.0566932
214,1.056659
215,1.0566725
216,1.0565686
217,1.0565472
218,1.0564798
219,1.0564808
220,1.0563715
221,1.056316
222,1.0562817
223,1.0562558
224,1.0562264
225,1.0562196
226,1.0561259
227,1.0559802
228,1.0559539
229,1.0559684
230,1.0558702
231,1.0558743
232,1.0557766
233,1.0556626
234,1.0556333
235,1.0556008
236,1.055577
237,1.0555733
238,1.0547043
239,1.0554941
240,1.0553093
241,1.0553451
242,1.0552694
243,1.0551646
244,1.0550734
245,1.0550541
246,1.0549879
247,1.054933
248,1.054881
249,1.0548437
250,1.0547812
251,1.0547292
252,1.0546422
253,1.0545331
254,1.054442
255,1.0544795
256,1.0543822
257,1.0543417
258,1.0541674
259,1.0540761
260,1.054029
261,1.0540105
262,1.0539218
263,1.0539687
264,1.0538151
265,1.0537269
266,1.053776
267,1.0537044
268,1.0536437
269,1.0535756
270,1.0534948
271,1.0533435
272,1.0533397
273,1.0532664
274,1.0531715
275,1.0530294
276,1.0530885
277,1.0530343
278,1.0529741
279,1.0528067
280,1.0528734
281,1.0527837
282,1.052685
283,1.0526825
284,1.05259
285,1.0524652
286,1.0523654
287,1.0522946
288,1.0521679
289,1.0520201
290,1.0519538
291,1.0518409
292,1.0517946
293,1.0517956
294,1.0517365
295,1.051702
296,1.0515811
297,1.0516095
298,1.0514809
299,1.0513484
300,1.0512495
301,1.051226
302,1.0511496
303,1.0510896
304,1.0509878
305,1.0509311
306,1.0510058
307,1.0508821
308,1.0507663
309,1.0506691
310,1.0505778
311,1.0504764
312,1.0504885
313,1.0504024
314,1.0503238
315,1.0502204
316,1.0501209
317,1.0500298
318,1.0500349
319,1.0500219
320,1.0498626
321,1.0497407
322,1.0497216
323,1.0495883
324,1.0495446
325,1.0494452
326,1.0493265
327,1.0493751
328,1.0492358
329,1.0491315
330,1.049105
331,1.0489908
332,1.048924
333,1.0488305
334,1.0487882
335,1.0486712
336,1.0486487
337,1.0485179
338,1.0484892
339,1.0484124
340,1.048344
341,1.0482436
342,1.0481205
343,1.0480145
344,1.047936
345,1.0477647
346,1.047774
347,1.0477207
348,1.0475783
349,1.0474404
350,1.0473539
351,1.0473218
352,1.0471706
353,1.047177
354,1.0470309
355,1.0469536
356,1.0468336
357,1.0468085
358,1.0467134
359,1.0466102
360,1.0464944
361,1.0464534
362,1.0464325
363,1.0463163
364,1.0463091
365,1.0462241
366,1.0462258
367,1.0461019
368,1.0460424
369,1.0460314
370,1.0459384
371,1.0457771
372,1.0456982
373,1.045634
374,1.045563
375,1.0455219
376,1.0454198
377,1.045457
378,1.0453513
379,1.0452418
380,1.0451722
381,1.0451369
382,1.0450039
383,1.0448732
384,1.0448053
385,1.0447417
386,1.0446454
387,1.0444617
388,1.0443981
389,1.0442616
390,1.0442934
391,1.0441724
392,1.0441111
393,1.043995
394,1.0439703
395,1.0439069
396,1.0438005
397,1.0437082
398,1.0436144
399,1.0435336
400,1.0434622
401,1.0433946
402,1.0431483
403,1.0431349
404,1.0429015
405,1.0429012
406,1.0427711
407,1.0427198
408,1.042591
409,1.0424683
410,1.0424397
411,1.0423615
412,1.0422832
413,1.0421817
414,1.0421381
415,1.0419812
416,1.0419155
417,1.0418687
418,1.041775
419,1.0416464
420,1.0415308
421,1.0415034
422,1.0413219
423,1.0411599
424,1.04111
425,1.0410166
426,1.0409956
427,1.0408888
428,1.0407891
429,1.0406882
430,1.0406748
431,1.040476
432,1.0403695
433,1.0403432
434,1.0402492
435,1.0401036
436,1.0399536
437,1.0398351
438,1.0397867
439,1.0396973
440,1.0395504
441,1.0394319
442,1.0394258
443,1.0392833
444,1.0391428
445,1.0390056
446,1.0388234
447,1.0386614
448,1.0386014
449,1.0384923
450,1.038311
451,1.0381074
452,1.0380822
453,1.037899
454,1.0378578
455,1.0377069
456,1.0375776
457,1.0376121
458,1.037493
459,1.0375054
460,1.0372963
461,1.0372311
462,1.0371234
463,1.0370041
464,1.036945
465,1.0368617
466,1.0367293
467,1.0366777
468,1.0365179
469,1.0364326
470,1.0363079
471,1.036162
472,1.0360062
473,1.0359446
474,1.035799
475,1.0357075
476,1.0356104
477,1.0354453
478,1.0352987
479,1.0351985
480,1.0350218
481,1.0349212
482,1.0348197
483,1.0346144
484,1.0345182
485,1.0343084
486,1.0342053
487,1.0341104
488,1.0338984
489,1.0338203
490,1.0337324
491,1.0335665
492,1.0334357
493,1.0333951
494,1.033332
495,1.0331408
