,capacity
0,1.0648884
1,1.0656468
2,1.0695888
3,1.0703218
4,1.0722336
5,1.0699816
6,1.0716194
7,1.0692338
8,1.0705485
9,1.0731639
10,1.0726068
11,1.0736618
12,1.072789
13,1.0736632
14,1.0741998
15,1.0752621
16,1.0741626
17,1.0758442
18,1.0723889
19,1.0745831
20,1.07471
21,1.0735788
22,1.0755304
23,1.0759243
24,1.0709103
25,1.0746946
26,1.0750084
27,1.0751594
28,1.0761997
29,1.0748903
30,1.0751379
31,1.0760332
32,1.0762125
33,1.076105
34,1.0762651
35,1.0755733
36,1.0762722
37,1.0763761
38,1.0756954
39,1.0763489
40,1.0767114
41,1.0750623
42,1.0763443
43,1.076511
44,1.0748659
45,1.0761329
46,1.076036
47,1.0746126
48,1.0760503
49,1.0758883
50,1.0754873
51,1.0764638
52,1.0761734
53,1.07558
54,1.0759864
55,1.0760223
56,1.0759701
57,1.0759487
58,1.0749183
59,1.0758452
60,1.0759656
61,1.0747001
62,1.0756724
63,1.0757962
64,1.0746495
65,1.0757661
66,1.0759178
67,1.0746865
68,1.0757155
69,1.0756308
70,1.0748932
71,1.0753607
72,1.0755489
73,1.0750114
74,1.0756854
75,1.0751693
76,1.0751932
77,1.075585
78,1.0744232
79,1.0751905
80,1.0749869
81,1.0737413
82,1.0746311
83,1.0749173
84,1.0725363
85,1.074932
86,1.0753319
87,1.0739244
88,1.0747312
89,1.0742384
90,1.0737982
91,1.0741656
92,1.0742118
93,1.0741109
94,1.074385
95,1.073324
96,1.0735922
97,1.0740923
98,1.0729009
99,1.073837
100,1.0730753
101,1.0722345
102,1.073253
103,1.0734365
104,1.0718912
105,1.0730708
106,1.0728493
107,1.0685436
108,1.0668439
109,1.064292
110,1.0724028
111,1.0618821
112,1.0472896
113,1.0603997
114,1.0545011
115,1.0505892
116,1.0536743
117,1.064885
118,1.0684698
119,1.0670316
120,1.0707251
121,1.0696553
122,1.0693167
123,1.0718852
124,1.0707974
125,1.0711707
126,1.0707734
127,1.0705712
128,1.0707729
129,1.0686394
130,1.0709001
131,1.0709308
132,1.0700872
133,1.0708075
134,1.0710208
135,1.0694488
136,1.070312
137,1.0702361
138,1.069036
139,1.0698582
140,1.0690017
141,1.0650494
142,1.0670686
143,1.0597945
144,1.0563976
145,1.0655918
146,1.0605596
147,1.0625702
148,1.0664482
149,1.0679586
150,1.0682532
151,1.0686069
152,1.0673943
153,1.0681978
154,1.068222
155,1.0666107
156,1.0679276
157,1.0678512
158,1.0667193
159,1.0675004
160,1.067718
161,1.0663762
162,1.0671719
163,1.0670037
164,1.0662919
165,1.0667481
166,1.0660621
167,1.0661676
168,1.0661794
169,1.0652002
170,1.0660173
171,1.0659508
172,1.064858
173,1.0655977
174,1.0654392
175,1.0643251
176,1.0650586
177,1.0651898
178,1.0638919
179,1.0646838
180,1.0642097
181,1.0639185
182,1.0643245
183,1.0640992
184,1.0635287
185,1.063539
186,1.0631908
187,1.063504
188,1.06349
189,1.0624204
190,1.0634552
191,1.0614935
192,1.0617396
193,1.0625627
194,1.062879
195,1.0612514
196,1.0622917
197,1.0617803
198,1.0601183
199,1.0607461
200,1.0604784
201,1.0606729
202,1.0606031
203,1.0607072
204,1.0594261
205,1.0608531
206,1.0599732
207,1.0598896
208,1.0590491
209,1.0592064
210,1.0595181
211,1.0600132
212,1.0586264
213,1.059446
214,1.0594642
215,1.0582528
216,1.0589651
217,1.0588564
218,1.0579505
219,1.0586108
220,1.0586444
221,1.0580269
222,1.0580659
223,1.0580137
224,1.0577362
225,1.0577937
226,1.0567452
227,1.0565486
228,1.0564333
229,1.0553
230,1.0560387
231,1.056507
232,1.0458921
233,1.0532315
234,1.0564103
235,1.0551211
236,1.0504524
237,1.054499
238,1.0536021
239,1.0544999
240,1.0550823
241,1.0547642
242,1.0550134
243,1.0538311
244,1.0543895
245,1.0542958
246,1.0535835
247,1.050925
248,1.0518218
249,1.0510764
250,1.0520278
251,1.0521895
252,1.051028
253,1.0520011
254,1.0519481
255,1.049749
256,1.0505489
257,1.0505918
258,1.0505816
259,1.0515606
260,1.0515316
261,1.0508746
262,1.0498246
263,1.0498046
264,1.0491991
265,1.0494365
266,1.0497087
267,1.0500818
268,1.0478946
269,1.0479821
270,1.0473685
271,1.049902
272,1.0485547
273,1.0493968
274,1.0495113
275,1.048202
276,1.0489144
277,1.0482647
278,1.0478978
279,1.0482581
280,1.0481206
281,1.0476351
282,1.0477312
283,1.0468282
284,1.0471336
285,1.0469991
286,1.0456545
287,1.0462039
288,1.0462371
289,1.0451828
290,1.0459421
291,1.0458891
292,1.0446829
293,1.0454502
294,1.0452927
295,1.0443929
296,1.0446575
297,1.0440087
298,1.0438991
299,1.0427252
300,1.0430362
301,1.0435234
302,1.0421519
303,1.0420364
304,1.0410906
305,1.0423738
306,1.0401516
307,1.0420501
308,1.0419089
309,1.0407021
310,1.0398493
311,1.0409173
312,1.0389661
313,1.0403419
314,1.0395974
315,1.0396115
316,1.0396733
317,1.0375057
318,1.0377475
319,1.0388479
320,1.0361515
321,1.037957
322,1.0378832
323,1.0364057
324,1.0371637
325,1.0371289
326,1.0358379
327,1.036137
328,1.0358219
329,1.0356233
330,1.0354152
331,1.0317367
332,1.0347568
333,1.0340055
334,1.0329479
335,1.0334855
336,1.0332612
337,1.0320555
338,1.0326406
339,1.0322841
340,1.0317727
341,1.0320592
342,1.0311898
343,1.0303768
344,1.0301362
345,1.0292567
346,1.0297462
347,1.0296634
348,1.0281312
349,1.0286567
350,1.0283271
351,1.026884
352,1.027178
353,1.0267876
354,1.0258859
355,1.0261093
356,1.0254922
357,1.0248268
358,1.0246797
359,1.0235379
360,1.0237424
361,1.0230422
362,1.0220623
363,1.0226296
364,1.0210916
365,1.0211334
366,1.0202609
367,1.0179155
368,1.0163333
369,1.0198237
370,1.0188649
371,1.0185307
372,1.0184124
373,1.0170158
374,1.0171705
375,1.0162663
376,1.0153559
377,1.0156965
378,1.0150353
379,1.0091577
380,1.0140504
381,1.0131319
382,1.0111548
