,capacity
0,1.0731678
1,1.0741653
2,1.0748765
3,1.0754544
4,1.0758239
5,1.076032
6,1.0760335
7,1.075101
8,1.0765018
9,1.0765386
10,1.0765332
11,1.076515
12,1.0767156
13,1.0765821
14,1.0766661
15,1.0767251
16,1.0768569
17,1.0768059
18,1.0768418
19,1.0768691
20,1.0768663
21,1.0768197
22,1.0768452
23,1.0767515
24,1.0767441
25,1.0768077
26,1.0768757
27,1.0769049
28,1.076943
29,1.0769298
30,1.0769316
31,1.0768931
32,1.0768956
33,1.076942
34,1.0769018
35,1.076857
36,1.0767919
37,1.0768
38,1.0767915
39,1.0767853
40,1.0766987
41,1.076704
42,1.0765955
43,1.076633
44,1.0766354
45,1.076617
46,1.0765876
47,1.0766407
48,1.0766814
49,1.0766423
50,1.0766205
51,1.0766505
52,1.0767165
53,1.0766686
54,1.0765686
55,1.0765697
56,1.076519
57,1.076466
58,1.07652
59,1.0764216
60,1.0764202
61,1.0763376
62,1.076327
63,1.0763391
64,1.0763148
65,1.0763218
66,1.0762373
67,1.0761939
68,1.0762135
69,1.0761877
70,1.0761691
71,1.0761577
72,1.0761313
73,1.0763284
74,1.0761139
75,1.0760754
76,1.0760517
77,1.0760043
78,1.0761323
79,1.0760988
80,1.0759724
81,1.07596
82,1.0760008
83,1.075958
84,1.0760354
85,1.0760472
86,1.0759763
87,1.0759332
88,1.0758567
89,1.0757703
90,1.0757636
91,1.075734
92,1.0756928
93,1.0757594
94,1.0756766
95,1.0756992
96,1.0755974
97,1.0756246
98,1.0755825
99,1.0755343
100,1.0755554
101,1.0755204
102,1.0754994
103,1.0755275
104,1.0754864
105,1.0754724
106,1.075498
107,1.0755502
108,1.0755473
109,1.0755715
110,1.075533
111,1.0755739
112,1.075523
113,1.0755292
114,1.0756106
115,1.0755303
116,1.0755935
117,1.0755609
118,1.075532
119,1.0754532
120,1.0753862
121,1.0753887
122,1.0753632
123,1.0753665
124,1.0753245
125,1.0752444
126,1.0751945
127,1.0751605
128,1.075084
129,1.0750366
130,1.0749929
131,1.0750087
132,1.0749577
133,1.0749263
134,1.0749942
135,1.0748434
136,1.0748169
137,1.0749128
138,1.0749393
139,1.0749898
140,1.0749561
141,1.0749586
142,1.0737622
143,1.0749035
144,1.0749474
145,1.0749608
146,1.0749309
147,1.0748382
148,1.0747815
149,1.0747995
150,1.0746801
151,1.0747241
152,1.0746722
153,1.0745957
154,1.0745943
155,1.0744926
156,1.0744141
157,1.0743388
158,1.0743474
159,1.0742968
160,1.0742918
161,1.0743057
162,1.0742104
163,1.0741975
164,1.0741462
165,1.07416
166,1.0741963
167,1.0742413
168,1.0742429
169,1.0742949
170,1.074219
171,1.0741845
172,1.0742033
173,1.0741224
174,1.074142
175,1.0741236
176,1.0741838
177,1.0742213
178,1.074071
179,1.0740932
180,1.0739923
181,1.0739583
182,1.0739439
183,1.0739423
184,1.0738648
185,1.0738778
186,1.0737953
187,1.0736762
188,1.0736392
189,1.0735677
190,1.0734867
191,1.0734705
192,1.0733875
193,1.0733329
194,1.0732932
195,1.073341
196,1.0734509
197,1.0734951
198,1.0734397
199,1.0734786
200,1.0734185
201,1.0733839
202,1.0734383
203,1.0734506
204,1.0734715
205,1.0734593
206,1.0734336
207,1.0733519
208,1.0732771
209,1.0732503
210,1.073241
211,1.0733007
212,1.0732431
213,1.0731924
214,1.0731783
215,1.0732163
216,1.0731701
217,1.0731353
218,1.0730886
219,1.0730166
220,1.0729762
221,1.0728438
222,1.0729214
223,1.0728166
224,1.0727581
225,1.0727611
226,1.0727895
227,1.0727519
228,1.0727092
229,1.0726504
230,1.0726066
231,1.0725745
232,1.0726069
233,1.0725499
234,1.0725436
235,1.0724946
236,1.0724612
237,1.0723858
238,1.0723978
239,1.0723686
240,1.0723593
241,1.0722859
242,1.0722432
243,1.0722543
244,1.0722054
245,1.0721924
246,1.0721872
247,1.0721647
248,1.0721239
249,1.072102
250,1.0720916
251,1.0719956
252,1.0719767
253,1.0719261
254,1.0719026
255,1.0718491
256,1.0718056
257,1.071822
258,1.0717824
259,1.0717958
260,1.0717309
261,1.0717163
262,1.0717683
263,1.0717001
264,1.0716585
265,1.0715848
266,1.0715597
267,1.0715786
268,1.071546
269,1.0714445
270,1.0714341
271,1.071427
272,1.0714072
273,1.0714206
274,1.0713669
275,1.0713022
276,1.0712714
277,1.0712441
278,1.0711901
279,1.0711559
280,1.0711616
281,1.0710534
282,1.0709946
283,1.0709883
284,1.0708942
285,1.0708513
286,1.0708739
287,1.0707548
288,1.0707393
289,1.0707209
290,1.0707186
291,1.0706954
292,1.0706661
293,1.0705796
294,1.0705378
295,1.0705544
296,1.0704994
297,1.0704229
298,1.0704218
299,1.0704542
300,1.0704212
301,1.0704029
302,1.070282
303,1.0701948
304,1.0701569
305,1.0701334
306,1.0700681
307,1.0700189
308,1.0699838
309,1.0699254
310,1.0699177
311,1.0698726
312,1.0698421
313,1.0697979
314,1.0697559
315,1.0696981
316,1.0696502
317,1.0696236
318,1.0695506
319,1.0695194
320,1.0694995
321,1.0694463
322,1.0694439
323,1.069436
324,1.0693376
325,1.0685161
326,1.0692989
327,1.0692199
328,1.0692062
329,1.0692319
330,1.0691437
331,1.0691272
332,1.0690664
333,1.0690365
334,1.068967
335,1.068869
336,1.0688133
337,1.0687876
338,1.0687453
339,1.0686731
340,1.068676
341,1.0685716
342,1.0686089
343,1.0685158
344,1.0684195
345,1.0683733
346,1.0683131
347,1.0683167
348,1.0682293
349,1.0681902
350,1.0681159
351,1.0680857
352,1.0680927
353,1.0680279
354,1.0680122
355,1.0680287
356,1.0680194
357,1.0680019
358,1.06796
359,1.0679213
360,1.0679264
361,1.0678614
362,1.067768
363,1.0677506
364,1.0676917
365,1.0676706
366,1.0675759
367,1.067529
368,1.0675147
369,1.0674118
370,1.0674701
371,1.0673939
372,1.0673692
373,1.0673584
374,1.0672488
375,1.0671949
376,1.0671235
377,1.0670834
378,1.0669929
379,1.0669537
380,1.0668234
381,1.0668766
382,1.0668159
383,1.0668118
384,1.0667949
385,1.0666733
386,1.066678
387,1.0666208
388,1.0665983
389,1.0665061
390,1.0665454
391,1.0664593
392,1.0663615
393,1.0662327
394,1.0661985
395,1.0660949
396,1.06603
397,1.0660037
398,1.0659821
399,1.0658596
400,1.0658388
401,1.0658441
402,1.0657593
403,1.0656773
404,1.0656846
405,1.0655979
406,1.0655754
407,1.0654708
408,1.0654564
409,1.0653625
410,1.0653136
411,1.0652392
412,1.0652179
413,1.0651778
414,1.0651301
415,1.065069
416,1.0650144
417,1.064959
418,1.0649137
419,1.0648478
420,1.0648212
421,1.0647668
422,1.0647652
423,1.0647119
424,1.0646704
425,1.064501
426,1.0644935
427,1.0644147
428,1.0643433
429,1.064239
430,1.0642091
431,1.0641687
432,1.0641556
433,1.0640888
434,1.0640112
435,1.0639194
436,1.0637914
437,1.0636746
438,1.063619
439,1.0635098
440,1.0634129
441,1.0633599
442,1.0633236
443,1.0632584
444,1.0632342
445,1.0632355
446,1.063229
447,1.0631537
448,1.063084
449,1.0630866
450,1.0630608
451,1.0629623
452,1.0629075
453,1.0628686
454,1.0627874
455,1.0627449
456,1.0626897
457,1.0625551
458,1.0624715
459,1.0624576
460,1.062394
461,1.0622711
462,1.0623591
463,1.0621545
464,1.06086
465,1.0620469
466,1.061931
467,1.0619071
468,1.0618383
469,1.061748
470,1.0616544
471,1.0615624
472,1.0614632
473,1.0613978
474,1.0612888
475,1.0612853
476,1.0611917
477,1.0611185
478,1.0610696
479,1.0609751
480,1.060997
481,1.0608621
482,1.0608282
483,1.0606979
484,1.0606244
485,1.0606003
486,1.060485
487,1.0603881
488,1.0602766
489,1.0602102
490,1.0601505
491,1.0600557
492,1.0600003
493,1.0598927
494,1.0598053
495,1.0597385
496,1.059616
497,1.0595083
498,1.0594146
499,1.0592941
500,1.0591695
501,1.0590587
502,1.0589033
503,1.0587705
504,1.0587187
505,1.0586684
506,1.058592
507,1.0585428
508,1.058542
509,1.0584918
510,1.0584749
511,1.0584404
512,1.0583844
513,1.0583304
514,1.0582722
515,1.0581218
516,1.0580615
517,1.0580239
518,1.0579237
519,1.0578287
520,1.0576988
521,1.0576508
522,1.057462
523,1.0573996
524,1.0573322
525,1.0572321
526,1.0570921
527,1.0570115
528,1.0569047
529,1.0568215
530,1.0567147
531,1.0566033
532,1.0564923
533,1.0564579
534,1.056317
535,1.0562346
536,1.0561378
537,1.0560946
538,1.056028
539,1.0559288
540,1.0558823
541,1.0558174
542,1.0557112
543,1.0556309
544,1.0555521
545,1.0555316
546,1.0554663
547,1.0553505
548,1.0553516
549,1.055337
550,1.0552086
551,1.0551639
552,1.0550355
553,1.0549268
554,1.0548767
555,1.054724
556,1.0547007
557,1.0545988
558,1.0545057
559,1.054419
560,1.0543104
561,1.0541931
562,1.0540704
563,1.0540702
564,1.0539426
565,1.053809
566,1.05373
567,1.0535426
568,1.0534866
569,1.0534444
570,1.0533277
571,1.0532514
572,1.0532382
573,1.0531018
574,1.0529741
575,1.0529039
576,1.0528345
577,1.0527295
578,1.0526233
579,1.0525057
580,1.052429
581,1.0523218
582,1.0522064
583,1.0520762
584,1.0519745
585,1.0519022
586,1.0517784
587,1.051716
588,1.0515932
589,1.0514636
590,1.0513514
591,1.0512131
592,1.0511823
593,1.051057
594,1.0509548
595,1.0508521
596,1.0507697
597,1.0506128
598,1.0505385
599,1.0504259
600,1.0503123
601,1.0501261
602,1.0500542
603,1.0499233
604,1.0498458
605,1.0497311
606,1.049613
607,1.0495331
608,1.0494297
609,1.0493416
610,1.0491906
611,1.0490911
612,1.0489788
613,1.0488774
614,1.0486987
615,1.048556
616,1.0483994
617,1.048242
618,1.0481672
619,1.0480264
620,1.0478764
621,1.0477517
622,1.0476289
623,1.047491
624,1.0473716
625,1.0472231
626,1.0470769
627,1.0468804
628,1.0468291
629,1.046671
630,1.04658
631,1.0464454
632,1.0463351
633,1.0462048
634,1.0461193
635,1.0459653
636,1.04584
637,1.0457278
638,1.0455633
639,1.0453868
640,1.0452398
641,1.0450612
642,1.0448623
643,1.0447426
644,1.0445554
645,1.0444156
646,1.0443128
647,1.0441215
648,1.0439767
649,1.0437711
