,capacity
0,0.0
1,1.0748194
2,1.076063
3,1.0766596
4,1.0771673
5,1.0774544
6,1.077722
7,1.0779625
8,1.0781716
9,1.0783199
10,1.0784283
11,1.0784422
12,1.0784914
13,1.0773222
14,1.0785298
15,1.0785834
16,1.078631
17,1.0786072
18,1.0786502
19,1.078655
20,1.0786675
21,1.0786946
22,1.0786744
23,1.0786538
24,1.0786886
25,1.0786824
26,1.0786811
27,1.0786976
28,1.0787258
29,1.0787003
30,1.0774906
31,1.0787091
32,1.0786984
33,1.0787129
34,1.078703
35,1.0787079
36,1.0787163
37,1.0787128
38,1.0786955
39,1.0787122
40,1.0786238
41,1.0786607
42,1.0786549
43,1.0786166
44,1.0786062
45,1.0786067
46,1.0786139
47,1.0773886
48,1.0785834
49,1.0787735
50,1.0789655
51,1.0791242
52,1.0792633
53,1.0792918
54,1.0788085
55,1.0784785
56,1.078389
57,1.0783616
58,1.0783273
59,1.0783263
60,1.0782512
61,1.0781986
62,1.0781596
63,1.0781298
64,1.0768802
65,1.0780566
66,1.0780436
67,1.0779868
68,1.0779625
69,1.0779452
70,1.0779158
71,1.0778847
72,1.0778587
73,1.0778339
74,1.0777999
75,1.0777122
76,1.0777344
77,1.0776854
78,1.0776592
79,1.0776047
80,1.0775789
81,1.0775095
82,1.0775069
83,1.0774448
84,1.0774205
85,1.0773113
86,1.0773058
87,1.0772825
88,1.0772604
89,1.0772251
90,1.0771841
91,1.0771409
92,1.0771136
93,1.0770733
94,1.077042
95,1.0769547
96,1.0769221
97,1.0768815
98,1.0768373
99,1.0768065
100,1.0767663
101,1.0767136
102,1.0766395
103,1.0766343
104,1.0753748
105,1.0764859
106,1.0764009
107,1.0764471
108,1.0763961
109,1.0763607
110,1.0763454
111,1.076319
112,1.0762656
113,1.0761932
114,1.0761234
115,1.0760611
116,1.0760233
117,1.076009
118,1.0759854
119,1.0759176
120,1.0759106
121,1.0746417
122,1.0757655
123,1.0756928
124,1.0755979
125,1.0755388
126,1.0754939
127,1.0754694
128,1.0753844
129,1.0753375
130,1.0752665
131,1.0752004
132,1.0750991
133,1.0751019
134,1.0749551
135,1.0749594
136,1.0748974
137,1.0748652
138,1.0735927
139,1.0747972
140,1.0745769
141,1.0745993
142,1.0745546
143,1.0745403
144,1.0744615
145,1.0744104
146,1.0743005
147,1.0742813
148,1.074234
149,1.0741931
150,1.0742111
151,1.0741087
152,1.0740601
153,1.0739983
154,1.0739244
155,1.0726635
156,1.0738045
157,1.0737115
158,1.0736685
159,1.073603
160,1.0735849
161,1.0735949
162,1.0737147
163,1.073693
164,1.0736157
165,1.0734521
166,1.0732477
167,1.0732068
168,1.073068
169,1.073168
170,1.0732577
171,1.0733042
172,1.0720963
173,1.0732421
174,1.0731499
175,1.0730129
176,1.0728112
177,1.072593
178,1.0724962
179,1.0723897
180,1.072301
181,1.0722303
182,1.0721459
183,1.0720719
184,1.0720845
185,1.0719106
186,1.071892
187,1.0718445
188,1.071848
189,1.0707089
190,1.0720208
191,1.0719992
192,1.0718395
193,1.0716028
194,1.0714469
195,1.071326
